Event ID	Event Name	Website	Start-End Date
71266	Recruitment Agency Expo Birmingham	https://recruitmentagencyexpo.com/birmingham/	7 - 8 Oct 2020
250166	Uranquinty Folk Festival	http://www.uranquintyfolk.com/the-festival	2 - 5 Oct 2020
231459	Lebanon Area Fair	http://www.lebanonareafair.com/	25 Jul - 1 Aug 2020
238487	Recam Week Conference	https://www.recamcongress.com/	3 - 4 Mar 2020
371940	SolarRoofs North East	https://www.solarquarter.com/index.php/events/business-events/49-solarroofs-north-east-2019	17 - 17 Oct 2019
74981	Antik Markt & Design Cloppenburg	https://sparringa-veranstaltungen.de/21-10-2018-antikmarkt-design-3/	20 - 20 Oct 2019
434744	American Water Works Association Annual Conference & Exposition	https://www.awwa.org/Events-Education/Events-Calendar/ctl/ViewEvent/mid/6794/OccuranceId/158	20 - 22 Oct 2019
414903	Sacramento New Earth Expo	https://www.newearthevents.com/sacramento	27 - 27 Oct 2019
173747	Carmarthen Antiques & Flea Markets	http://www.towyevents.co.uk/	20 - 20 Oct 2019
110386	T Rose International Bridal Show Baltimore	https://www.trosebridalshows.com/bridal-shows/	20 - 20 Oct 2019
405615	World Congress of Nano Science &Technology	http://www.bitcongress.com/nano2019/HotelandVenue.asp	20 - 22 Oct 2019
303690	Cashless Payments Summit	https://vukanicomms.co.za/event/cashless-payments-summit-2019/	7 - 8 Nov 2019
154717	Fashion Gift Fair	http://www.ukgrandsales.co.uk/Fashion-and-Gift-Fair-Yorkshire-Event-Centre.aspx?id=31&Year=2015	25 - 26 Sep 2020
207315	Milton Keynes Wedding Show	http://www.centralexhibitions.co.uk/wedding-exhibitions/	3 - 3 Nov 2019
70664	The Greater Northeast Philly Bridal Showcase	https://www.bridalevent.com/events-1/the-big-north-east-philly-bridal-show-expo	20 - 20 Oct 2019
2166	Feriarte	https://www.ifema.es/feriarte	16 - 24 Nov 2019
441272	India Carpet Expo	http://www.cepc.co.in/events/stand-alone-show-of-cepc-for-handmade-carpets-and-other-floor-coverings-in-mumbai	7 - 10 Nov 2019
235394	Air Capital Comic Con	https://www.aircapcomiccon.com/	16 - 17 Nov 2019
207801	Hanbury Manor Wedding Show	https://www.mainweddingsandevents.co.uk/Hertfordshire-Wedding-Shows/Hanbury-Manor-Wedding-Show/	26 - 26 Jan 2020
240073	Houchins Wedding Show	https://www.mainweddingsandevents.co.uk/Essex-Wedding-Shows/Houchins-Wedding-Show/	26 - 26 Jan 2020
369573	New Frontiers in Cosmetic Medicine Symposium	https://www.cosmeticfrontiers.com/venue/	15 - 17 Nov 2019
338513	Teaching, Learning and Curriculum Section Midyear Colloquium	http://aaahq.org/Meetings/2017/Teaching-Learning-and-Curriculum	8 - 9 Nov 2019
297039	Bloomsbury Book Ephemera & Postcard Fair	https://etcfairs.com/2019/09/17/dates-for-2020/	12 - 12 Jan 2020
47994	Zuger Messe	https://www.zugermesse.ch/	19 - 27 Oct 2019
194350	Bmw Show	http://www.bmwshow.co.uk/index.php	14 - 14 Jun 2020
328350	International Conference on Current Trends in Engineering and Technology	http://ifiad.in/Conference/2020/Oct/11th-New%20Delhi-ICCTET/index.html	11 - 11 Oct 2020
159248	International Conference on Mechanical And Production Engineering	http://itresearch.org.in/Conference2019/12/Vizag/ICMPE/	19 - 19 Dec 2019
54176	International Conference on Agriculture for Life Life for Agriculture	http://agricultureforlife.usamv.ro/	4 - 6 Jun 2020
407777	GoGreen Summit & The Remedies for Climate Change	https://gogreen.bioleagues.com/	18 - 19 Oct 2019
317237	Antiviral Drugs Research & Development	https://www.expohour.com/antiviral-drugs-research-development-baltimore	28 - 29 Jun 2020
15396	Dremasilesia	https://www.mtp.pl/pl/kalendarium/?_ga=2.257852043.1248434512.1570546159-700273703.1570546159	17 - 19 Apr 2020
12455	Special Equipment Exhibition & Conference for Anti-Terrorism	http://www.seecat.biz/english/	21 - 23 Oct 2020
302213	London Doll & Teddy Bear Spring Show & Sale	https://www.londondollshow.com/	5 - 5 Apr 2020
297477	Russia Blades	https://volgogradexpo.ru/exhibitions/	15 - 19 Apr 2020
124501	Tourist Hunter Angler	https://volgogradexpo.ru/exhibitions/	15 - 19 Apr 2020
