URL,Organizer,Added,Script name,10times Event URL,event_start_month,Crawler Frequency,,,Status
https://www.interphex.com/Show-Info/Exhibitor-List/#,Reed Exhibition,15/04/19,interphex.py,https://10times.com/interphex-usa,Apr,Jan,Feb,Mar,uploaded
https://www.eseexpo.com/cgi-bin/md_energy/lib/pub/tt.cgi/Exhibitor_Index_A-Z.html?oid=6468&lang=2&ticket=g_u_e_s_t,Messe Düsseldorf GmbH ,11/3/2019,energystorage12-14.py,https://10times.com/energy-storage-expo,Mar,Dec,Jan,Feb,uploaded
https://www.make-up-artist-show.com/vis/v1/en/directory/a?oid=12062&lang=2,Messe Düsseldorf GmbH ,5/3/2019,makeup_artist30-31.py,https://10times.com/makeup-artist-designshow,Mar,Dec,Jan,Feb,uploaded
https://www.prowein.com/cgi-bin/md_prowein/lib/pub/tt.cgi/Exhibitor_index_A-Z.html?oid=29558&lang=2&ticket=g_u_e_s_t,Messe Düsseldorf GmbH ,11/3/2019,prowein17-19.py,https://10times.com/prowein,Mar,Dec,Jan,Feb,uploaded
https://www.top-hair-international.com/cgi-bin/md_tophair/lib/pub/tt.cgi/Exhibitor_Index_A-Z.html?oid=11920&lang=2&ticket=g_u_e_s_t,Messe Düsseldorf GmbH ,5/3/2019,tophair30-31.py,https://10times.com/top-hair-international,Mar,Dec,Jan,Feb,uploaded
https://www.gifa.com/cgi-bin/md_gmtn/lib/pub/tt.cgi/Exhibitor_Index_A-Z.html?oid=290386&lang=2&ticket=g_u_e_s_t,Messe Düsseldorf GmbH ,5/3/2019,gifa25-29.py,https://10times.com/gifa-germany,Jun,Mar,Apr,May,uploaded
https://www.metec.de/cgi-bin/md_gmtn/lib/pub/tt.cgi/Ausstellerverzeichnis_A-Z.html?oid=290390&lang=1&ticket=g_u_e_s_t,Messe Düsseldorf GmbH ,28/03/19,metec25-29.py,https://10times.com/metec-d-sseldorf,Jun,Mar,Apr,May,uploaded
https://www.newcast.com/cgi-bin/md_gmtn/lib/pub/tt.cgi/Exhibitor_Index_A-Z.html?oid=290388&lang=2&ticket=g_u_e_s_t,Messe Düsseldorf GmbH ,29/03/19,newcast25-29.py,https://10times.com/newcast/exhibitors,Jun,Mar,Apr,May,uploaded
https://www.thermprocess.de/cgi-bin/md_gmtn/lib/pub/tt.cgi/Ausstellerverzeichnis_A-Z.html?oid=290392&lang=1&ticket=g_u_e_s_t,Messe Düsseldorf GmbH ,29/03/19,therm25-29.py,https://10times.com/therm-process,Jun,Mar,Apr,May,uploaded
https://www.aplusa-online.com/cgi-bin/md_aplusa/lib/pub/tt.cgi/Exhibitor_Index_A-Z.html?oid=19008&lang=2&ticket=g_u_e_s_t,Messe Düsseldorf GmbH ,13/05/19,a+a.py,https://10times.com/a-a-messe-dusseldorf,Nov,Aug,Sep,Oct,uploaded
https://www.rehacare.com/cgi-bin/md_rehacare/lib/pub/tt.cgi/Exhibitors_from_A-Z.html?oid=43612&lang=2&ticket=g_u_e_s_t,Messe Düsseldorf GmbH ,13/05/19,rehcare.py,https://10times.com/rehacare, ,Jun,Jul,Aug,uploaded
https://www.medica-tradefair.com/cgi-bin/md_medica/lib/pub/tt.cgi/Exhibitor_index_A-Z.html?oid=80398&lang=2&ticket=g_u_e_s_t,Messe Düsseldorf GmbH ,14/05/19,medica.py,https://10times.com/medica-de,Nov,Aug,Sep,Oct,uploaded
https://www.valveworldexpo.com/cgi-bin/md_valve/lib/pub/tt.cgi/Exhibitor_Index_A-Z.html?oid=8560&lang=2&ticket=g_u_e_s_t,Messe Düsseldorf GmbH ,14/05/19,valveworldexpo.py,https://10times.com/valve-world-expo,Dec,Sep,Oct,Nov,uploaded
https://www.glasstec.de/cgi-bin/md_glasstec/lib/pub/tt.cgi/Ausstellerverzeichnis_A-Z.html?oid=18438&lang=1&ticket=g_u_e_s_t,Messe Düsseldorf GmbH ,13/05/19,glasstec.py,https://10times.com/glasstec-germany,Oct,Jul,Aug,Sep,old data new yet to come
https://www.omniagmd.com/exhibitordirectory/africa-health,Informamarkets,15/04/19,africahealth.py,https://10times.com/africa-health,May,Feb,Mar,Apr,uploaded
